ACG.L	-4.04	35.4	13.95
ACG.R	8.46	37.01	15.84
AMYG.L	-23.27	-0.67	-17.14
AMYG.R	27.32	0.64	-17.5
ANG.L	-44.14	-60.82	35.59
ANG.R	45.51	-59.98	38.63
CAU.L	-11.46	11	9.24
CAU.R	14.84	12.07	9.42
CUN.L	-5.93	-80.13	27.22
CUN.R	13.51	-79.36	28.23
DCG.L	-5.48	-14.92	41.57
DCG.R	8.02	-8.83	39.79
FFG.L	-31.16	-40.3	-20.23
FFG.R	33.97	-39.1	-20.18
HIP.L	-25.03	-20.74	-10.13
HIP.R	29.23	-19.78	-10.33
IFGoperc.L	-48.43	12.73	19.02
IFGoperc.R	50.2	14.98	21.41
IFGtriang.L	-45.58	29.91	13.99
IFGtriang.R	50.33	30.16	14.17
INS.L	-35.13	6.65	3.44
INS.R	39.02	6.25	2.08
IOG.L	-36.36	-78.29	-7.84
IOG.R	38.16	-81.99	-7.61
IPL.L	-42.8	-45.82	46.74
IPL.R	46.46	-46.29	49.54
ITG.L	-49.77	-28.05	-23.17
ITG.R	53.69	-31.07	-22.32
LING.L	-14.62	-67.56	-4.63
LING.R	16.29	-66.93	-3.87
MFG.L	-33.43	32.73	35.46
MFG.R	37.59	33.06	34.04
MTG.L	-55.52	-33.8	-2.2
MTG.R	57.47	-37.23	-1.47
ORBinf.L	-35.98	30.71	-12.11
ORBinf.R	41.22	32.23	-11.91
ORBmid.L	-30.65	50.43	-9.62
ORBmid.R	33.18	52.59	-10.73
ORBsup.L	-16.56	47.32	-13.31
ORBsup.R	18.49	48.1	-14.02
ORBsupmed.L	-5.17	54.06	-7.4
ORBsupmed.R	8.16	51.67	-7.13
PCG.L	-4.85	-42.92	24.67
PCG.R	7.44	-41.81	21.87
PCUN.L	-7.24	-56.07	48.01
PCUN.R	9.98	-56.05	43.77
PHG.L	-21.17	-15.95	-20.7
PHG.R	25.38	-15.15	-20.47
PoCG.L	-42.46	-22.63	48.92
PoCG.R	41.43	-25.49	52.55
PreCG.L	-38.65	-5.68	50.94
PreCG.R	41.37	-8.21	52.09
PUT.L	-23.91	3.86	2.4
PUT.R	27.78	4.91	2.46
ROL.L	-47.16	-8.48	13.95
ROL.R	52.65	-6.25	14.63
SFGdor.L	-18.45	34.81	42.2
SFGdor.R	21.9	31.12	43.82
SFGmed.L	-4.8	49.17	30.89
SFGmed.R	9.1	50.84	30.22
SPG.L	-23.45	-59.56	58.96
SPG.R	26.11	-59.18	62.06
STG.L	-53.16	-20.68	7.13
STG.R	58.15	-21.78	6.8
THA.L	-10.85	-17.56	7.98
THA.R	13	-17.55	8.09
TPOmid.L	-36.32	14.59	-34.08
TPOmid.R	44.22	14.55	-32.23
TPOsup.L	-39.88	15.14	-20.18
TPOsup.R	48.25	14.75	-16.86
